name,description,ingredients_raw,steps,tags
Chocolate Chewies,From Family Circle All-Time Favorite Recipes.,"['2 1/2  cups    all-purpose flour', '3/4  cup    unsweetened cocoa powder', '1   teaspoon    baking powder', '1/4  teaspoon    salt', '1   cup    unsalted butter, at room temperature ', '3/4  cup   packed light brown sugar', '3/4  cup    sugar', '2       eggs', '2   teaspoons    vanilla', '3/4  cup   hot brewed coffee', '1   cup   red and green candy covered plain chocolate candies (red and green M&Ms)', '1/2  cup   toasted pine nuts']","['Sift together the flour, cocoa powder, baking powder, and salt into a mixing bowl; set aside.', 'In a large mixing bowl, beat the butter until creamy.', 'Beat in the sugars until light and fluffy.', 'Beat in the eggs, one at a time, then the vanilla.', 'Beat flour mixture into butter mixture.', 'Stir in hot coffee.', 'Fold in chocolate pieces and pine nuts.', 'Drop dough by heaping tablespoonfuls onto an ungreased cookie sheet.', 'Bake in a 375° oven for 8-11 minutes or until set.', 'Let cool slightly on the cookie sheet; then transfer to a wire rack to cool completely.']","['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'desserts', 'oven', 'cookies-and-brownies', 'chocolate', 'dietary', 'low-sodium', 'low-in-something', 'equipment']"
1 Cup Cookies,A cookie recipe that is measured by the cup ( with 2 exceptions) so it is easy to remember.,"['1   cup    margarine', '1   cup    brown sugar', '1   cup    white sugar', '2       eggs', '1   cup    peanut butter', '1   teaspoon    vanilla', '1   cup    flour', '1   cup    oats', '2   teaspoons    baking soda', '1   cup    coconut', '1   cup    dried cranberries', '1   cup    pecans', '1   cup    chocolate chips']","['Preheat oven to 350.', 'Blend together the first 3 ingredients.', 'Add the next 3 ingredients and mix well.', 'Add the next 3 ingredients and mix well.', 'Mix in the last 4 ingredients.', 'Place on cookie sheet by the tablespoon.', 'Bake for 12 minutes.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', 'snacks', 'canadian', 'ontario', 'peanut-butter']"
Butterscotch Oatmeal Bites,Fun and yummy kid snack. Perfect to make with the kids!  Also a great snack for the classroom (just make sure no one has peanut allergies!),"['2 1/2  cups    miniature marshmallows', '1   cup    butterscotch chips', '1/4  cup    peanut butter', '2   tablespoons    butter (no substitutes)', '3   cups    Cheerios toasted oat cereal', '1/2  cup    raisins', '1/2  cup    flaked coconut']","['In heavy saucepan, combine marshmallows, butterscotch chips, peanut butter, and butter.', 'Cook and stir on medium-high heat until melted.', 'Remove from heat.', 'Stir in Cheerios, raisins, and coconut.  Drop by bite size pieces onto wax paper.  Let stand for 10 minutes.']","['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'drop-cookies', 'desserts', 'easy', 'beginner-cook', 'kid-friendly', 'candy', 'cookies-and-brownies', 'dietary', 'toddler-friendly']"
Tra Vigne Biscotti,An anise cookie from Michael Chiarello. Time does not include chilling time or cooling time after the first bake.,"['3 1/2  cups    all-purpose flour, plus more ', '  all-purpose flour, for dusting work surfaces ', '1 1/2  teaspoons    baking powder', '1   teaspoon    salt', '1/2  cup    unsalted butter, at room temperature ', '2/3  cup    turbinado sugar, plus more to roll logs in ', '1/3  cup   packed light brown sugar', '5   large    eggs', '6   tablespoons   whole anise seed', '1   cup    unblanched whole almonds, toasted ']","['Sift together the flour, baking powder, and salt and set aside. In the bowl of a stand mixer fitted with the paddle attachment, cream together the butter, turbinado sugar, and brown sugar until light and fluffy. Add the eggs, flour mixture, and aniseed. Beat on low just until the dough begins to come together. Add the almonds and mix just until distributed. Do not overwork. On a floured board, shape the dough into a ball, flatten, put in a bowl, and chill for 2 hours to allow the dough to relax.', 'Preheat the oven to 325°F Line a baking sheet with parchment paper. Divide the dough into 2 equal portions on a lightly floured work surface. Using your hands, roll each portion into a log about 3 inches in diameter. Roll the logs in turbinado sugar to coat well. Place the logs on the prepared baking sheet and press down lightly to flatten slightly. Logs should be several inches apart. (For more delicate cookies, divide in thirds and roll into logs 2 inches in diameter.).', 'Bake until firm and light brown, about 1 hour. When poked with a finger, the dough should feel firm to the touch and not collapse or cave inches Remove from the oven, then lower the oven temperature to 300°F.', 'Let the logs cool completely. Carefully move them, still on the parchment, to a cutting board, then peel off the parchment. Cut the logs with a sharp serrated knife into 1/3- to 1/2-inch-thick slices. Lay the slices down on a baking sheet and return to the oven. Bake until toasted to a golden brown on both sides, about 50 minutes. Turn the cookies during toasting, as needed, to brown evenly on both sides. Let cool completely, then store in an airtight container.']","['time-to-make', 'course', 'cuisine', 'preparation', 'for-large-groups', 'desserts', 'european', 'cookies-and-brownies', 'italian', 'biscotti', 'number-of-servings', '4-hours-or-less']"
Sweet &amp; Salty Pretzel Brownies,"I found this amazing recipe in Woman's Day magazine.  Trust me this recipe is delicious, rich and decadent.  It has slightly more of a candy bar texture than brownie.  It reminds me of a Take 5 candy bar.  I made this for Mother's Day and everyone thinks I'm genius.Baking time includes refrigeration.","['8   ounces    semi-sweet chocolate chips', '4   ounces    unsweetened baking chocolate, coarsely chopped ', '1/2  cup    unsalted butter', '60       saltine crackers, finely crushed ', '14   ounces    fat-free sweetened condensed milk', '3   cups   bite-size pretzels']",[],"['time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'desserts', 'easy', 'finger-food', 'romantic', 'candy', 'cookies-and-brownies', 'chocolate', 'gifts', 'comfort-food', 'taste-mood', 'sweet', 'presentation', '4-hours-or-less']"
Chocolate Roll-Out Sugar Cookies,we were supposed to bake these in my foods class but ran out of time.,"['1/2  cup    margarine', '3/4  cup    sugar', '1       egg', '3/4  teaspoon    vanilla', '1   tablespoon    milk', '1 1/2  cups    flour', '1/3  cup    cocoa', '1/2  teaspoon    baking powder', '1/8  teaspoon    salt']","['Cream margarine and sugar together with electric mixer.', 'Add egg and beat with electric mixer.', 'Add vanilla and milk and beat with electric mixer until light and fluffy.', 'In a separate bowl, stir together flour, cocoa, baking powder, salt.', 'Stir with a spoon, the flour mixture into the creamed mixture.', 'Place dough into lock seal bag. refrigerate 2-3 hours or overnight.', 'Preheat oven to 325 degrees F.', 'Lightly flour dough board.', 'Using a floured rolling pin, roll out half of dough to 1/8 inch thickness.', 'Cut into desired shapes with floured cookie cutters.', 'Place cookies onto ungreased cookie sheets and sprinkle lightly with granulated sugar.', 'Bake 6-8 minutes, or until touched lightly in the center of cookie with finger the imprint does not show.']","['time-to-make', 'course', 'cuisine', 'preparation', 'north-american', 'rolled-cookies', 'desserts', 'american', 'oven', 'easy', 'refrigerator', 'beginner-cook', 'finger-food', 'cookies-and-brownies', 'equipment', 'small-appliance', 'mixer', 'presentation', '4-hours-or-less']"
Butterfinger Cookies,A very special peanut butter cookie studded with bits of Butterfinger candy.,"['3/4  cup    sugar', '2/3  cup    light brown sugar, packed ', '1/2  cup    unsalted butter, room temp ', '2       egg whites', '1 1/2  teaspoons    vanilla', '1 1/4  cups    chunky peanut butter', '1   cup    flour', '1/2  teaspoon    salt', '1 1/2  teaspoons    baking soda', '5 (2 1/8  ounce)    butterfinger candy bars']","['Preheat oven to 350 degrees.', 'Lightly grease 2 cookie sheets.', 'In a food processor, blend sugars, butter, egg whites, and vanilla until light and fluffy, stopping once to scrape down the sides of the work bowl, about 1 minute.', 'Add the peanut butter and process using on/off pulses until combined, about 20 seconds.', 'Add flour, salt and baking soda and blend until just combined using 2 to 3 on/off turns; do not over process.', 'Transfer mixture to a large bowl.', 'Cut candy bars into 1/2 inch pieces and stir into dough.', 'Mound dough by 1 1/2 tablespoons onto prepared sheets, spacing 2 inches apart.', 'Flatten slightly using fingers.', 'Bake until dry in appearance and centers are slightly soft to touch, about 15 minutes.', 'Cool on cookie sheets 3 minutes before removing (they will fall apart until the candy hardens up a bit).', 'Transfer to wire racks to cool completely.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'drop-cookies', 'desserts', 'oven', 'potluck', 'dinner-party', 'fall', 'heirloom-historical', 'holiday-event', 'kid-friendly', 'picnic', 'romantic', 'spring', 'summer', 'winter', 'cookies-and-brownies', 'easter', 'chocolate', 'dietary', 'gifts', 'christmas', 'new-years', 'seasonal', 'comfort-food', 'brown-bag', 'independence-day', 'valentines-day', 'toddler-friendly', 'superbowl', 'taste-mood', 'sweet', 'to-go', 'equipment', 'number-of-servings']"
Traditional Italian Pizzelles (Not Waffles),Delicious Italian pizzelles. (They're not waffles!) Pizzelle iron needed to make!,"['3       eggs', '1 3/4  cups    flour', '3/4  cup    sugar', '1   tablespoon    vanilla', '1/2  cup   melted margarine (melt in glass measuring cup in microwave for 45 seconds)', '2   teaspoons    baking powder', '  powdered sugar']","['Put the eggs in a large bowl and with a wire whisk beat until foamy- add sugar 1/4 cup at a time. Beat until smooth.', 'Add margarine and flavoring.', 'Sift flour and baking powder together. add to above!', 'Blend until smooth, scrape sides of bowls to combine well.', 'Drop batter by teaspoon full measures on to preheated Pizzelle Iron.', 'Bake 30 seconds- till golden.', 'Remove with a fork- let them cool- add powdered sugar.']","['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'hand-formed-cookies', 'desserts', 'eggs-dairy', 'easy', 'european', 'beginner-cook', 'heirloom-historical', 'holiday-event', 'vegetarian', 'cookies-and-brownies', 'italian', 'eggs', 'dietary', 'christmas']"
Grandma Georgia’s Molasses Cookies,"This is one of my favorite cookie recipes because it reminds me of childhood and Mom baking these for school lunches. I hadn’t had molasses cookies in years and then last year I spent some time with my mother-in-law, Vicki, who might just love molasses cookies as much as I do. These are simple to make and the molasses cookies fill the house with the incredible aromas of ginger and cinnamon.","['3/4  cup    vegetable shortening', '1   cup    sugar', '1/4  cup    molasses', '1       egg', '2   teaspoons    baking soda', '2   cups    all-purpose flour', '1/2  teaspoon    ground ginger', '1   teaspoon    cinnamon', '1/2  teaspoon    table salt']","['Melt the shortening and let it cool. Mix the dry ingredients together. Add the sugar, molasses, and egg to the shortening. Stir in the dry ingredients and mix until combined. Chill until firm.', 'Preheat the oven to 375ºF. Form the dough into balls about 1 inch in size. Place a little white sugar in a small bowl and roll each ball in the sugar. Place the balls about 2 inches apart on an ungreased cookie sheet. Bake for 8 to 10 minutes.', 'Leave the cookies on the cookie sheet for 3 to 5 minutes. The cookies will be soft but they will harden as they cool.']","['60-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'occasion', 'north-american', 'hand-formed-cookies', 'desserts', 'lunch', 'snacks', 'canadian', 'easy', 'kid-friendly', 'picnic', 'cookies-and-brownies', 'dietary', 'comfort-food', 'brown-bag', 'ontario', 'toddler-friendly', 'taste-mood', 'to-go', 'camping', '3-steps-or-less']"
Date Tart Cookies,"From Sunset ""Cookies"" book (1985). The preparation time calculations do not include the minimum 2 hour resting period for the dough.","['1/2  cup    butter or 1/2  cup    margarine, softened ', '1   cup    brown sugar, firmly packed ', '2       eggs', '1   teaspoon    vanilla', '2   cups    all-purpose flour', '1/2  cup    wheat germ, unsweetened and toasted ', '1/2  teaspoon    salt', '1/2  teaspoon    nutmeg', '1/4  teaspoon    baking soda', '1 1/2  cups    pitted dates, lightly packed ', '1/2  cup    water', '2   tablespoons    honey', '1/2  teaspoon    vanilla']","['COOKIE DOUGH: In a large bowl of an electric mixer, beat butter and sugar until creamy; beat in eggs and vanilla.', 'In another bowl, stir together flour, wheat germ, salt, nutmeg, and baking soda; gradually add to butter mixture, blending thoroughly.', 'Cover dough tightly with plastic wrap and refrigerate until easy to handle (at least 2 hours) for up to 3 days. Meanwhile, prepare date filling.', 'DATE FILLING: In a small pan, combine all the ingredients except the vanilla. Cook over medium heat, stirring and mashing with a spooon, until mixture is thick and smooth. Stir in vanilla.', 'Let cool; then cover and refrigerate.', 'COOKIE ASSEMBLY: Preheat oven to 350°F.', 'Take out 1/3 of the dough, leaving remaining dough in the refrigerator. On a well-floured board, roll out dough to 1/16-inch thickness; cut out with a 3-inch cookie cutter. Repeat with remaining dough, rolling and cutting one portion at a time.', 'Place half the cookies slightly apart on greased baking sheets; spoon a heaping teaspoonful of filling into each. Cover each with another cookie and press edges together with a floured fork. Decoratively slash top, if desired.', 'Bake in a 350°F oven for 12 to 15 minutes or until lightly browned. Transfer to racks and let cool. Store airtight.']","['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', 'for-large-groups', 'healthy', 'rolled-cookies', 'desserts', 'fruit', 'american', 'cookies-and-brownies', 'dietary', 'number-of-servings']"
